data,concelho,var,n
2008/1 Trimestre,Cascais,Preço de Venda / m2,1605
2008/1 Trimestre,Lisboa,Preço de Venda / m2,2298
2008/1 Trimestre,Loures,Preço de Venda / m2,1333
2008/1 Trimestre,Mafra,Preço de Venda / m2,1202
2008/1 Trimestre,Oeiras,Preço de Venda / m2,1873
2008/1 Trimestre,Sintra,Preço de Venda / m2,1393
2008/1 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1378
2008/1 Trimestre,Amadora,Preço de Venda / m2,1482
2008/1 Trimestre,Odivelas,Preço de Venda / m2,1576
2008/1 Trimestre,Alcochete,Preço de Venda / m2,1061
2008/1 Trimestre,Almada,Preço de Venda / m2,1533
2008/1 Trimestre,Barreiro,Preço de Venda / m2,1182
2008/1 Trimestre,Seixal,Preço de Venda / m2,1474
2008/1 Trimestre,Sesimbra,Preço de Venda / m2,923
2008/1 Trimestre,Setúbal,Preço de Venda / m2,1047
2008/1 Trimestre,Gondomar,Preço de Venda / m2,889
2008/1 Trimestre,Maia,Preço de Venda / m2,1308
2008/1 Trimestre,Matosinhos,Preço de Venda / m2,1526
2008/1 Trimestre,Porto,Preço de Venda / m2,2026
2008/1 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1214
2008/1 Trimestre,Cascais,Fogos Vendidos,991
2008/1 Trimestre,Lisboa,Fogos Vendidos,3034
2008/1 Trimestre,Loures,Fogos Vendidos,929
2008/1 Trimestre,Mafra,Fogos Vendidos,484
2008/1 Trimestre,Oeiras,Fogos Vendidos,1104
2008/1 Trimestre,Sintra,Fogos Vendidos,1633
2008/1 Trimestre,Vila Franca de Xira,Fogos Vendidos,719
2008/1 Trimestre,Amadora,Fogos Vendidos,669
2008/1 Trimestre,Odivelas,Fogos Vendidos,613
2008/1 Trimestre,Gondomar,Fogos Vendidos,439
2008/1 Trimestre,Maia,Fogos Vendidos,591
2008/1 Trimestre,Matosinhos,Fogos Vendidos,852
2008/1 Trimestre,Porto,Fogos Vendidos,1226
2008/1 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1372
2008/1 Trimestre,Alcochete,Fogos Vendidos,112
2008/1 Trimestre,Almada,Fogos Vendidos,806
2008/1 Trimestre,Barreiro,Fogos Vendidos,367
2008/1 Trimestre,Moita,Fogos Vendidos,311
2008/1 Trimestre,Seixal,Fogos Vendidos,755
2008/1 Trimestre,Sesimbra,Fogos Vendidos,329
2008/1 Trimestre,Setúbal,Fogos Vendidos,900
2008/2 Trimestre,Cascais,Preço de Venda / m2,1663
2008/2 Trimestre,Lisboa,Preço de Venda / m2,2310
2008/2 Trimestre,Loures,Preço de Venda / m2,1437
2008/2 Trimestre,Oeiras,Preço de Venda / m2,1588
2008/2 Trimestre,Sintra,Preço de Venda / m2,1503
2008/2 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1579
2008/2 Trimestre,Amadora,Preço de Venda / m2,1329
2008/2 Trimestre,Odivelas,Preço de Venda / m2,1553
2008/2 Trimestre,Almada,Preço de Venda / m2,1364
2008/2 Trimestre,Seixal,Preço de Venda / m2,1357
2008/2 Trimestre,Sesimbra,Preço de Venda / m2,1089
2008/2 Trimestre,Setúbal,Preço de Venda / m2,1127
2008/2 Trimestre,Gondomar,Preço de Venda / m2,926
2008/2 Trimestre,Maia,Preço de Venda / m2,1104
2008/2 Trimestre,Matosinhos,Preço de Venda / m2,1563
2008/2 Trimestre,Porto,Preço de Venda / m2,1722
2008/2 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1340
2008/2 Trimestre,Cascais,Fogos Vendidos,1029
2008/2 Trimestre,Lisboa,Fogos Vendidos,3016
2008/2 Trimestre,Loures,Fogos Vendidos,801
2008/2 Trimestre,Mafra,Fogos Vendidos,447
2008/2 Trimestre,Oeiras,Fogos Vendidos,846
2008/2 Trimestre,Sintra,Fogos Vendidos,1640
2008/2 Trimestre,Vila Franca de Xira,Fogos Vendidos,708
2008/2 Trimestre,Amadora,Fogos Vendidos,731
2008/2 Trimestre,Odivelas,Fogos Vendidos,603
2008/2 Trimestre,Gondomar,Fogos Vendidos,485
2008/2 Trimestre,Maia,Fogos Vendidos,618
2008/2 Trimestre,Matosinhos,Fogos Vendidos,742
2008/2 Trimestre,Porto,Fogos Vendidos,1189
2008/2 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1372
2008/2 Trimestre,Almada,Fogos Vendidos,880
2008/2 Trimestre,Palmela,Fogos Vendidos,349
2008/2 Trimestre,Seixal,Fogos Vendidos,798
2008/2 Trimestre,Sesimbra,Fogos Vendidos,348
2008/2 Trimestre,Setúbal,Fogos Vendidos,846
