data,concelho,var,n
2008/1 Trimestre,Almada,Fogos em Oferta,2289
2008/1 Trimestre,Barreiro,Fogos em Oferta,293
2008/1 Trimestre,Moita,Fogos em Oferta,342
2008/1 Trimestre,Montijo,Fogos em Oferta,1076
2008/1 Trimestre,Palmela,Fogos em Oferta,717
2008/1 Trimestre,Seixal,Fogos em Oferta,2004
2008/1 Trimestre,Sesimbra,Fogos em Oferta,1136
2008/1 Trimestre,Setúbal,Fogos em Oferta,2260
2008/1 Trimestre,Espinho,Fogos em Oferta,41
2008/1 Trimestre,Gondomar,Fogos em Oferta,1221
2008/1 Trimestre,Maia,Fogos em Oferta,1632
2008/1 Trimestre,Matosinhos,Fogos em Oferta,3056
2008/1 Trimestre,Porto,Fogos em Oferta,4220
2008/1 Trimestre,Póvoa de Varzim,Fogos em Oferta,66
2008/1 Trimestre,Valongo,Fogos em Oferta,537
2008/1 Trimestre,Vila do Conde,Fogos em Oferta,143
2008/1 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3611
2008/1 Trimestre,Cascais,Valor de Oferta / m2,2207
2008/1 Trimestre,Lisboa,Valor de Oferta / m2,2690
2008/1 Trimestre,Loures,Valor de Oferta / m2,1644
2008/1 Trimestre,Mafra,Valor de Oferta / m2,1397
2008/1 Trimestre,Oeiras,Valor de Oferta / m2,2035
2008/1 Trimestre,Sintra,Valor de Oferta / m2,1364
2008/1 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1394
2008/1 Trimestre,Amadora,Valor de Oferta / m2,1696
2008/1 Trimestre,Odivelas,Valor de Oferta / m2,1555
2008/1 Trimestre,Alcochete,Valor de Oferta / m2,1277
2008/1 Trimestre,Almada,Valor de Oferta / m2,1579
2008/1 Trimestre,Barreiro,Valor de Oferta / m2,1156
2008/1 Trimestre,Moita,Valor de Oferta / m2,1073
2008/1 Trimestre,Montijo,Valor de Oferta / m2,1272
2008/1 Trimestre,Palmela,Valor de Oferta / m2,1244
2008/1 Trimestre,Seixal,Valor de Oferta / m2,1370
2008/1 Trimestre,Sesimbra,Valor de Oferta / m2,1562
2008/1 Trimestre,Setúbal,Valor de Oferta / m2,1242
2008/1 Trimestre,Espinho,Valor de Oferta / m2,1342
2008/1 Trimestre,Gondomar,Valor de Oferta / m2,1147
2008/1 Trimestre,Maia,Valor de Oferta / m2,1217
2008/1 Trimestre,Matosinhos,Valor de Oferta / m2,1676
2008/1 Trimestre,Porto,Valor de Oferta / m2,1941
2008/1 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1620
2008/1 Trimestre,Valongo,Valor de Oferta / m2,1146
2008/1 Trimestre,Vila do Conde,Valor de Oferta / m2,1483
2008/1 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1260
2008/2 Trimestre,Cascais,Fogos em Oferta,4584
2008/2 Trimestre,Lisboa,Fogos em Oferta,7555
2008/2 Trimestre,Loures,Fogos em Oferta,1504
2008/2 Trimestre,Mafra,Fogos em Oferta,499
2008/2 Trimestre,Oeiras,Fogos em Oferta,2715
2008/2 Trimestre,Sintra,Fogos em Oferta,3856
2008/2 Trimestre,Vila Franca de Xira,Fogos em Oferta,2468
2008/2 Trimestre,Amadora,Fogos em Oferta,3318
2008/2 Trimestre,Odivelas,Fogos em Oferta,2319
2008/2 Trimestre,Alcochete,Fogos em Oferta,466
2008/2 Trimestre,Almada,Fogos em Oferta,2487
2008/2 Trimestre,Barreiro,Fogos em Oferta,465
2008/2 Trimestre,Moita,Fogos em Oferta,320
2008/2 Trimestre,Montijo,Fogos em Oferta,1195
2008/2 Trimestre,Palmela,Fogos em Oferta,666
2008/2 Trimestre,Seixal,Fogos em Oferta,2343
2008/2 Trimestre,Sesimbra,Fogos em Oferta,1212
2008/2 Trimestre,Setúbal,Fogos em Oferta,2001
2008/2 Trimestre,Espinho,Fogos em Oferta,40
2008/2 Trimestre,Gondomar,Fogos em Oferta,1485
2008/2 Trimestre,Maia,Fogos em Oferta,1768
2008/2 Trimestre,Matosinhos,Fogos em Oferta,3368
2008/2 Trimestre,Porto,Fogos em Oferta,4899
2008/2 Trimestre,Póvoa de Varzim,Fogos em Oferta,356
2008/2 Trimestre,Valongo,Fogos em Oferta,614
2008/2 Trimestre,Vila do Conde,Fogos em Oferta,352
2008/2 Trimestre,Vila Nova de Gaia,Fogos em Oferta,3454
2008/2 Trimestre,Cascais,Valor de Oferta / m2,2090
2008/2 Trimestre,Lisboa,Valor de Oferta / m2,2618
2008/2 Trimestre,Loures,Valor de Oferta / m2,1587
2008/2 Trimestre,Mafra,Valor de Oferta / m2,1390
2008/2 Trimestre,Oeiras,Valor de Oferta / m2,1934
2008/2 Trimestre,Sintra,Valor de Oferta / m2,1369
2008/2 Trimestre,Vila Franca de Xira,Valor de Oferta / m2,1383
2008/2 Trimestre,Amadora,Valor de Oferta / m2,1644
2008/2 Trimestre,Odivelas,Valor de Oferta / m2,1511
2008/2 Trimestre,Alcochete,Valor de Oferta / m2,1275
2008/2 Trimestre,Almada,Valor de Oferta / m2,1568
2008/2 Trimestre,Barreiro,Valor de Oferta / m2,1144
2008/2 Trimestre,Moita,Valor de Oferta / m2,1069
2008/2 Trimestre,Montijo,Valor de Oferta / m2,1271
2008/2 Trimestre,Palmela,Valor de Oferta / m2,1233
2008/2 Trimestre,Seixal,Valor de Oferta / m2,1368
2008/2 Trimestre,Sesimbra,Valor de Oferta / m2,1541
2008/2 Trimestre,Setúbal,Valor de Oferta / m2,1266
2008/2 Trimestre,Espinho,Valor de Oferta / m2,1381
2008/2 Trimestre,Gondomar,Valor de Oferta / m2,988
2008/2 Trimestre,Maia,Valor de Oferta / m2,1106
2008/2 Trimestre,Matosinhos,Valor de Oferta / m2,1553
2008/2 Trimestre,Porto,Valor de Oferta / m2,1843
2008/2 Trimestre,Póvoa de Varzim,Valor de Oferta / m2,1345
2008/2 Trimestre,Valongo,Valor de Oferta / m2,910
2008/2 Trimestre,Vila do Conde,Valor de Oferta / m2,1211
2008/2 Trimestre,Vila Nova de Gaia,Valor de Oferta / m2,1162
2008/3 Trimestre,Cascais,Fogos em Oferta,4611
2008/3 Trimestre,Lisboa,Fogos em Oferta,7832
2008/3 Trimestre,Loures,Fogos em Oferta,1560
2008/3 Trimestre,Mafra,Fogos em Oferta,505
2008/3 Trimestre,Oeiras,Fogos em Oferta,2901
2008/3 Trimestre,Sintra,Fogos em Oferta,4310
2008/3 Trimestre,Vila Franca de Xira,Fogos em Oferta,1758
2008/3 Trimestre,Amadora,Fogos em Oferta,3196
2008/3 Trimestre,Odivelas,Fogos em Oferta,2275
2008/3 Trimestre,Alcochete,Fogos em Oferta,462
2008/3 Trimestre,Almada,Fogos em Oferta,2453
2008/3 Trimestre,Barreiro,Fogos em Oferta,483
2008/3 Trimestre,Moita,Fogos em Oferta,346
2008/3 Trimestre,Montijo,Fogos em Oferta,1045
2008/3 Trimestre,Palmela,Fogos em Oferta,707
2008/3 Trimestre,Seixal,Fogos em Oferta,2444
2008/3 Trimestre,Sesimbra,Fogos em Oferta,1216
2008/3 Trimestre,Setúbal,Fogos em Oferta,2125
2008/3 Trimestre,Espinho,Fogos em Oferta,43
2008/3 Trimestre,Gondomar,Fogos em Oferta,1454
2008/3 Trimestre,Maia,Fogos em Oferta,1250
2008/3 Trimestre,Matosinhos,Fogos em Oferta,2600
2008/3 Trimestre,Porto,Fogos em Oferta,4149
2008/3 Trimestre,Póvoa de Varzim,Fogos em Oferta,368
2008/3 Trimestre,Valongo,Fogos em Oferta,547
2008/3 Trimestre,Vila do Conde,Fogos em Oferta,337
2008/3 Trimestre,Vila Nova de Gaia,Fogos em Oferta,2462
2008/3 Trimestre,Cascais,Valor de Oferta / m2,2116
2008/3 Trimestre,Lisboa,Valor de Oferta / m2,2613
